filename	tags
GKV21_SB_final_inkl_Übersetzung_KF.pdf	Mobilität
_ses_mobilbroschuere_web.pdf	Mobilität
Bessere Koordination zwischen Raum- und Verkehrspla- nung.pdf	Mobilität;wichtig;Innenentwicklung
KantonLuzern-oeV-Bericht-2018-2021-B109.pdf	Mobilität;Referenz
Vision Mobilität Schweiz 2050.pdf	Mobilität;wichtig
bernd-hofer-freo-switzerland-ag-sophie-stigliano-urban-standards-gmbh.pdf	Mobilität;Inspiration
Kosten und Nutzen des Verkehrs.pdf	Mobilität;wichtig
IASS_Discussion_Paper_6000767.pdf	Mobilität;wichtig;Inspiration
_MatCH_Synthese_Bericht.pdf	Klima;Gebäude
C40 Cities (2022) The cost of fossil gas - The health, economic and environmental implications for cities.pdf	Energie;Innenentwicklung
01_FEZ_Folien_Event2_Drexel_20240116.pdf	Inspiration;Energie
Energiewende_A3.pdf	Lila
03_FEZ_Folien_Event5_Schmidt_20240409.pdf	Klima;Energie
Fahrplan_Energiewende_EZ 2.pdf	wichtig;Energie
BFE_Wettbewerbfaktor Energie_20100201.pdf	wichtig;Ökonomie;Gebäude;Inspiration;Energie
8827-Factsheet6_2000_Watt_neues_CI.pdf	Klima
C40 Cities (2023) Cities - Untapped solutions to Europe’s energy transition.pdf	Energie;Innenentwicklung
Roadmap Grossen – Mein Weg in die eigenversorgte Energiezukunft der Schweiz – Jürg Grossen - Lesemodus.pdf	wichtig;Inspiration;Energie
9789264307407-en.pdf	Klima
Wanner - 2017 - Umbau des Energiesystems in Basel - Unknown.pdf	Referenz;Energie
13_Gunzinger_SES-Fachtagung2019.pdf	Energie
GDI die neue energiewelt 2019 2.pdf	wichtig;Inspiration;Energie
Heft 36 Resilienz Konzeptionelle Potenziale für die sozial-ökologische Stadt- und Infrastrukturforschung.pdf	Klima;wichtig;Innenentwicklung
Transforming-the-Built-Environment.pdf	wichtig;Inspiration;Innenentwicklung
Arbeitspapier_Kreativität-für-ein-regeneratives-Morgen.pdf	wichtig;Inspiration
Pew-Research-Center-Climate-Change-Report-FINAL-November-5-2015.pdf	Verhalten
s41558-024-01925-3.pdf	Verhalten
sciencedirect-com-Social tipping processes towards climate action A conceptual framework.pdf	wichtig;Verhalten
Böcker_et_al_2021_Wie_wird_weniger_genug.pdf	Innenentwicklung
Systems Leadership.pdf	wichtig;Inspiration
WEF_Global_Risks_Report_2025.pdf	wichtig
medium.com-Beyond Systems Thinking Exploring Relational Metacognition Regenerative Design and Evolving Framework.pdf	
Interstitium - Invisible Landscapes – Jennifer Brandel.pdf	Inspiration
Sharpe_final_climate_goals_22_july.pdf	Verhalten
Cognitive_Bias_Codex_With_Definitions,_an_Extension_of_the_work_of_John_Manoogian_by_Brian_Morrissette.pdf	Gelb
2020-06_PublicEye_Magazin_Nr24_Und_Jetzt_Juni20_RZ_72dpi.pdf	Inspiration
z_Punkt Megatrends ohne Update 2021.pdf	wichtig
JRF_PlaceBasedCommunityLedRegeneration_FinalReport25.pdf	Inspiration
infographic.pdf	Inspiration
DRRS_magazine_page_online1_final.pdf	Inspiration
ourworldindata-org-More people care about climate change than you think.pdf	Verhalten
2017_kultur-und-kreativitat-fur-die-nachhaltige-entwicklung-gute-beispiele-fur-die-gemeinwesen.pdf	
fenvs-02-00035.pdf	Verhalten
NestlerWerner2025-Co-Creating_Futures.pdf	wichtig;Inspiration
Soft City.pdf	wichtig;Referenz;Innenentwicklung
180525-26_Scherler_öffentl_Baurecht_Raumplanung_VL.pdf	Innenentwicklung
190304_Präsentation Emmenegger, Lebendige Erdgeschosse.pdf	Innenentwicklung
12-Schritte-zur-City-of-People_2023-10-27-083300_fyrz.pdf	Inspiration;Innenentwicklung
10_minuten_nachbarschaften_miriamluedi.pdf	Mobilität;Innenentwicklung
180810_studie_siedlungsentwicklung_d_2.pdf	wichtig;Innenentwicklung
hochparterre-ch-Auf halber Strecke.pdf	wichtig;Inspiration;Innenentwicklung
Collage 2:24 Künstliche Intelligenz.pdf	wichtig;Inspiration
hochparterre-ch-Klimaschutz vor allem andern.pdf	wichtig;Innenentwicklung
Neue Nutzungsplanung_EBP_2019_0.pdf	wichtig;Inspiration
Swisscom_imd-SmartCity-booklet-DE.pdf	wichtig;Inspiration;Innenentwicklung
senn-com-Die sechs Dimensionen der Nachhaltigkeit.pdf	Klima;Wohnen;Gebäude;Inspiration;Innenentwicklung
Les Vergers un écoquartier participatif.pdf	Referenz;Innenentwicklung
Forum_Raumwissenschaften_2024_Folien.pdf	Gelb
Urbane Potenziale und Strategien Vogt.pdf	Referenz;Innenentwicklung
freiraumentwicklunginagglomerationen.pdf	
hochparterre-ch-Eine komfortable Schweiz.pdf	wichtig;Inspiration;Innenentwicklung
hochparterre-ch-Sechs Rezepte statt eines Konzepts.pdf	wichtig;Inspiration;Innenentwicklung
Final report_StaVerdi.pdf	Innenentwicklung
Bericht Verdichtungshemmnisse_Förderung Verdichtung_ergänzt_191031.pdf	Dichte;Innenentwicklung
Bildschirmfoto 2023-05-23 um 21.39.32.pdf	Klima;wichtig;Inspiration;Innenentwicklung
handbuch-quartierentwicklung.pdf	wichtig;Innenentwicklung
kore_bericht_d.pdf	wichtig;Inspiration;Innenentwicklung
hochparterre-ch-Coming soon Neues öffentliches Leben in Suburbia.pdf	Inspiration;Innenentwicklung
raumstrategie_250311_de-1.pdf	wichtig;Inspiration;Innenentwicklung
2018_D_ZORA_Future_Public_Spaces.pdf	wichtig;Inspiration;Innenentwicklung
